uid,question,question_type,answer,object_ids,ambiguous,slot_values
20967a93-0808-465d-b451-e19dd715b9b5,Is there a painting and a teddy bear in the house?,conjunction,yes,"[[51, 52], [77, 76]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a painting', 'entity2': 'a teddy_bear', 'location': 'house'}"
f3c6a4e4-85a2-41f2-909d-88bd48a6d200,Is there a rubiks cube and a teddy bear in the house?,conjunction,yes,"[[61, 59, 62, 60], [77, 76]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a rubiks_cube', 'entity2': 'a teddy_bear', 'location': 'house'}"
e94472f3-2bc4-4e46-8dba-4fe952c0d9f5,Is there a sofa and a table in the house?,conjunction,yes,"[[18], [74]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a sofa', 'entity2': 'a table', 'location': 'house'}"
9ecf4fe7-2f3b-4cef-873b-b8cd3bb0a5eb,Is there a teapot and a vase in the house?,conjunction,yes,"[[75], [80, 79]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a teapot', 'entity2': 'a vase', 'location': 'house'}"
a8227ec4-b17f-456c-a08d-17f16b7163de,Is there a teapot and a wine bottle in the house?,conjunction,yes,"[[75], [86, 88, 87]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a teapot', 'entity2': 'a wine_bottle', 'location': 'house'}"
7a0b86b4-c646-420f-be66-ebd17824c04a,Is there a vase and a wine bottle in the house?,conjunction,yes,"[[80, 79], [86, 88, 87]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a vase', 'entity2': 'a wine_bottle', 'location': 'house'}"
43dd9d2d-5582-4536-9ee0-7ec3918de953,Is there a dishwasher and a refrigerator in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dishwasher', 'entity2': 'a refrigerator', 'location': 'house'}"
406545d9-14d4-47b1-89d8-47230a5d26a0,Is there a fruit bowl and a kettle in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fruit_bowl', 'entity2': 'a kettle', 'location': 'house'}"
07fa0291-7548-4877-bfc6-c399be249293,Is there a bed and a lamp in the house?,conjunction,no,"[[], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a lamp', 'location': 'house'}"
be320969-d4db-43c5-9c05-a1abfcf18d79,Is there a chair and a wardrobe cabinet in the house?,conjunction,no,"[[14, 16, 13, 15, 12], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
8b5db969-9f9c-44d2-be4f-cd576388d733,Is there a fish tank and a vase in the house?,conjunction,no,"[[], [80, 79]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a vase', 'location': 'house'}"
fc24e07f-6095-4e84-acf6-e5ee0a3ae582,Is there a rug and a wardrobe cabinet in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a rug', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
82e6d924-2b14-4ce5-b004-71992b80ad73,Is there a dishwasher and a range oven in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dishwasher', 'entity2': 'a range_oven', 'location': 'house'}"
1af2d40f-1613-40f2-8ca1-326a459011b3,Is there a towel rack and a window in the house?,conjunction,no,"[[], [82, 84, 83, 81, 85]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a towel_rack', 'entity2': 'a window', 'location': 'house'}"
c72a4939-4f2b-47a5-b51c-64648a9e7821,Is there a dresser and a tv stand in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a tv_stand', 'location': 'house'}"
ae943942-726c-4860-a9ce-4281f17d722e,Is there a box and a rug in the house?,conjunction,no,"[[11], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a rug', 'location': 'house'}"
6b479eab-741c-43d5-9b97-5c516612fd7b,Is there a cup and a heater in the house?,conjunction,no,"[[20, 19], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a heater', 'location': 'house'}"
603c58f7-ee9b-4e30-aada-5d72556da2ae,Is there a box and a water dispenser in the house?,conjunction,no,"[[11], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a water_dispenser', 'location': 'house'}"
f6a9ac90-e1d2-4b9f-87de-0650e09021ad,Is there a cup and a water dispenser in the house?,conjunction,no,"[[20, 19], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a water_dispenser', 'location': 'house'}"
29e39233-727d-44f0-aba5-76483cde3eb4,Is there a bag and a water dispenser in the house?,conjunction,no,"[[5, 4, 2, 3, 6], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a water_dispenser', 'location': 'house'}"
619e5851-8435-4c0b-abe6-1271afc4fe2a,Is there a kettle and a wine bottle in the house?,conjunction,no,"[[], [86, 88, 87]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a kettle', 'entity2': 'a wine_bottle', 'location': 'house'}"
9b40bf37-ee4f-42b2-8acd-27143bfa6e6e,Is there a lamp and a wardrobe cabinet in the house?,conjunction,no,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
009b1a60-a2b4-4ce8-813a-e1d3c752fa92,Is there a coffee machine and a refrigerator in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a refrigerator', 'location': 'house'}"
e657f653-7d2e-479b-82d3-af560942eb78,Is there a food processor and a vacuum cleaner in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a food_processor', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
46053249-d46a-4cd1-a287-f4d6dd464944,Is there a computer and a mirror in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a mirror', 'location': 'house'}"
4a29e6f9-c7e5-4346-bb9f-000c3459dc89,Is there a dresser and a sofa in the house?,conjunction,no,"[[], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a sofa', 'location': 'house'}"
afcdda7a-4d10-460e-9a6c-db8903e34778,Is there a bed and a dressing table in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a dressing_table', 'location': 'house'}"
531fd005-4e4f-4190-8e6a-7629f4d9355f,Is there a bathtub and a teapot in the house?,conjunction,no,"[[], [75]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a teapot', 'location': 'house'}"
03070289-baf3-4a2c-ba19-254794ba4445,Is there a computer and a utensil holder in the house?,conjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a utensil_holder', 'location': 'house'}"
9918efdb-a857-448c-afc9-16abfc765683,Is there a bathtub and a vase in the house?,conjunction,no,"[[], [80, 79]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a vase', 'location': 'house'}"
006acec2-754f-4d0b-a67a-09eadc39a2d5,Is there a cup or a wine glass in the house?,disjunction,yes,"[[20, 19], [89]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a wine_glass', 'location': 'house'}"
0215b6a5-675f-4123-8bdd-82f75b1763bc,Is there a box or a rug in the house?,disjunction,yes,"[[11], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a rug', 'location': 'house'}"
2456d79d-82a5-477c-8f8d-2e4856178a3f,Is there a fish tank or a vase in the house?,disjunction,yes,"[[], [80, 79]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a vase', 'location': 'house'}"
411947a2-b339-4603-a660-11767aeea030,Is there a towel rack or a window in the house?,disjunction,yes,"[[], [82, 84, 83, 81, 85]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a towel_rack', 'entity2': 'a window', 'location': 'house'}"
566432c4-53c4-471f-8b76-e00eadcd22b5,Is there a bag or a bathtub in the house?,disjunction,yes,"[[5, 4, 2, 3, 6], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a bathtub', 'location': 'house'}"
d23f2beb-541a-4762-b0c4-03b1f77d9da9,Is there a chair or a dresser in the house?,disjunction,yes,"[[14, 16, 13, 15, 12], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a dresser', 'location': 'house'}"
221a6ef4-25a6-465a-8d2f-a37b6b296886,Is there a cup or a water dispenser in the house?,disjunction,yes,"[[20, 19], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a water_dispenser', 'location': 'house'}"
0ce8d470-d91a-4be7-b8dd-c6e43effb112,Is there a lamp or a rug in the house?,disjunction,yes,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a rug', 'location': 'house'}"
f7d42048-b940-46c3-8443-d2e212da6296,Is there a bathtub or a teapot in the house?,disjunction,yes,"[[], [75]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a teapot', 'location': 'house'}"
4cfa5c56-9e8b-40a6-9268-097a13dcaa2f,Is there a desk or a sofa in the house?,disjunction,yes,"[[21, 22], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a sofa', 'location': 'house'}"
e1dab541-ac23-4942-824e-b38097d08d6f,Is there a table or a wardrobe cabinet in the house?,disjunction,yes,"[[74], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a table', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
d5b21bbe-177e-442f-9d68-a1b5b80bfd3d,Is there a cup or a fruit bowl in the house?,disjunction,yes,"[[20, 19], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a fruit_bowl', 'location': 'house'}"
51dd2422-b86f-41d9-a298-481ef8582191,Is there a lamp or a wardrobe cabinet in the house?,disjunction,yes,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
3a0778ed-5e3d-426f-b1b0-5a1e202b2707,Is there a heater or a robot in the house?,disjunction,yes,"[[], [58, 56, 57]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a heater', 'entity2': 'a robot', 'location': 'house'}"
e5c7d3d8-675a-4f6d-a1f7-67de26014e56,Is there a bathtub or a wine bottle in the house?,disjunction,yes,"[[], [86, 88, 87]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a wine_bottle', 'location': 'house'}"
328981a0-62b2-42ca-ada9-15d88f1853b6,Is there a bag or a heater in the house?,disjunction,yes,"[[5, 4, 2, 3, 6], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a heater', 'location': 'house'}"
414fdc62-d29d-4461-9922-56bdf39a3db3,Is there a bed or a table in the house?,disjunction,yes,"[[], [74]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a table', 'location': 'house'}"
425577bb-09f5-41b0-992c-8d136d28198f,Is there a chair or a lamp in the house?,disjunction,yes,"[[14, 16, 13, 15, 12], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a lamp', 'location': 'house'}"
699ccbdc-3bab-4116-8e5a-9fabf95a62dd,Is there a dresser or a sofa in the house?,disjunction,yes,"[[], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a sofa', 'location': 'house'}"
cc75e70a-2e25-4911-839c-113712339d6c,Is there a kettle or a vase in the house?,disjunction,yes,"[[], [80, 79]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a kettle', 'entity2': 'a vase', 'location': 'house'}"
862f5357-ba06-4e0a-8183-89a5fb420383,Is there a bed or a desk in the house?,disjunction,yes,"[[], [21, 22]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a desk', 'location': 'house'}"
bcb826ea-013d-4341-a46a-b65cbcc0e614,Is there a lamp or a sofa in the house?,disjunction,yes,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a sofa', 'location': 'house'}"
00e1f807-9f25-4641-917d-1ee11b41ef9c,Is there a rubiks cube or a teddy bear in the house?,disjunction,yes,"[[61, 59, 62, 60], [77, 76]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a rubiks_cube', 'entity2': 'a teddy_bear', 'location': 'house'}"
28822c61-9612-4a90-bd1c-b8e5189ca0a3,Is there a chair or a sofa in the house?,disjunction,yes,"[[14, 16, 13, 15, 12], [18]]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a sofa', 'location': 'house'}"
90e85297-770e-4f8c-9fe5-1e99e758b9a5,Is there a range oven or a vacuum cleaner in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a range_oven', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
080170e4-a3e6-420d-936e-eaee4a00f291,Is there a shower or a sink in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a shower', 'entity2': 'a sink', 'location': 'house'}"
baecab5e-6582-4bed-a74d-8788199db501,Is there a bathtub or a fish tank in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a fish_tank', 'location': 'house'}"
2258ced4-6707-4b3b-9b93-d759d9170f9c,Is there a heater or a water dispenser in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a heater', 'entity2': 'a water_dispenser', 'location': 'house'}"
822d4bf3-7e21-4146-9c0c-91cf23abc85a,Is there a bed or a dressing table in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a dressing_table', 'location': 'house'}"
1709fd96-8c92-4007-af68-dd17acb76d01,Is there a shower or a toilet in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a shower', 'entity2': 'a toilet', 'location': 'house'}"
a09424fb-f3d5-41b9-b0c7-9a4f09218edf,Is there a computer or a mirror in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a mirror', 'location': 'house'}"
2ebd4848-7c8a-4eca-901b-aeaf41057f06,Is there a coffee machine or a refrigerator in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a refrigerator', 'location': 'house'}"
21113a7f-431c-4a2f-92c4-3f0f9addfe39,Is there a vacuum cleaner or a washer in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a vacuum_cleaner', 'entity2': 'a washer', 'location': 'house'}"
bc815732-e6e8-49a1-a630-c168578b0fcb,Is there a dressing table or a wardrobe cabinet in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dressing_table', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
0a2dc1cc-52c9-45ed-b710-e6a9b80188c4,Is there a fish tank or a fruit bowl in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a fruit_bowl', 'location': 'house'}"
6bca6b50-1b9b-42e5-9999-ce304c3c04df,Is there a coffee machine or a food processor in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a food_processor', 'location': 'house'}"
b3e925bf-851f-4ec8-a046-31514e94f7f5,Is there a fruit bowl or a water dispenser in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fruit_bowl', 'entity2': 'a water_dispenser', 'location': 'house'}"
b3d77a23-ca70-4c8c-acc0-2f5ed328671c,Is there a coffee machine or a vacuum cleaner in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
a8332c48-5f17-479b-80ae-97cc9ba89143,Is there a fish tank or a kettle in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a kettle', 'location': 'house'}"
bccb9f02-08c3-4701-aaff-765851c6e794,Is there a dresser or a dressing table in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a dressing_table', 'location': 'house'}"
20792b31-fcfb-4188-bcf1-f3e54382c9d2,Is there a bathtub or a water dispenser in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a water_dispenser', 'location': 'house'}"
edd45f76-6ac1-4357-97b3-0fd669ca7870,Is there a computer or a utensil holder in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a utensil_holder', 'location': 'house'}"
202e5dc3-0607-4208-92a8-eb95d77ed515,Is there a fruit bowl or a kettle in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a fruit_bowl', 'entity2': 'a kettle', 'location': 'house'}"
a715aa2a-d165-4db5-b33f-f9902b0972ac,Is there a coffee machine or a dishwasher in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a dishwasher', 'location': 'house'}"
ce2e972d-b4c8-4b9c-a1ad-c0fd72c5bb17,Is there a bed or a tv stand in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a tv_stand', 'location': 'house'}"
12d2c2ac-08b7-4d53-a436-ccdc1d022bad,Is there a tv stand or a wardrobe cabinet in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a tv_stand', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
e5bbc685-a018-4d73-8d22-0f7beb9764c1,Is there a bed or a dresser in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a dresser', 'location': 'house'}"
27ecae7a-930e-4e9c-9af2-9ef11782d8cd,Is there a microwave or a refrigerator in the house?,disjunction,no,"[[], []]",False,"{'colour1': '', 'colour2': '', 'entity1': 'a microwave', 'entity2': 'a refrigerator', 'location': 'house'}"
0e9e1459-0dc2-484f-a609-a080beaa8923,Is there an apple in the house?,existence,yes,"[1, 0]",False,"{'colour': '', 'entity': 'an apple', 'location': 'house'}"
c726abd3-61bd-4ee3-be10-d4d8405bedf5,Is there a bag in the house?,existence,yes,"[5, 4, 2, 3, 6]",False,"{'colour': '', 'entity': 'a bag', 'location': 'house'}"
92dd8e53-6153-4a55-9074-a91a50430b1c,Is there a ball in the house?,existence,yes,"[8, 7]",False,"{'colour': '', 'entity': 'a ball', 'location': 'house'}"
104f4b6d-d4f6-4a32-9f23-b6d83ef24daa,Is there a book in the house?,existence,yes,"[9, 10]",False,"{'colour': '', 'entity': 'a book', 'location': 'house'}"
bf8435a9-1fd6-443a-b11a-63188cbc0a16,Is there a bookshelf in the house?,existence,yes,[17],False,"{'colour': '', 'entity': 'a bookshelf', 'location': 'house'}"
c0db8f03-171d-445b-b9b1-ac50ee32a8f0,Is there a box in the house?,existence,yes,[11],False,"{'colour': '', 'entity': 'a box', 'location': 'house'}"
ae51b0cb-b304-4c96-a0b1-7f4f4dc209a9,Is there a chair in the house?,existence,yes,"[14, 16, 13, 15, 12]",False,"{'colour': '', 'entity': 'a chair', 'location': 'house'}"
aa9e5be4-c528-437d-83c5-d52c88aacfde,Is there a cup in the house?,existence,yes,"[20, 19]",False,"{'colour': '', 'entity': 'a cup', 'location': 'house'}"
583545f3-bb71-47e3-b522-e3cbfda55de9,Is there a desk in the house?,existence,yes,"[21, 22]",False,"{'colour': '', 'entity': 'a desk', 'location': 'house'}"
cd346a2f-dda3-4eb0-8b08-aec5a47e6e15,Is there a door in the house?,existence,yes,"[25, 29, 24, 28, 23, 27, 30, 26]",False,"{'colour': '', 'entity': 'a door', 'location': 'house'}"
250fc2a2-a78a-4ed9-9ba2-c142c2578428,Is there a door handle in the house?,existence,yes,"[34, 31, 32, 33, 35, 36]",False,"{'colour': '', 'entity': 'a door_handle', 'location': 'house'}"
8d0aebc0-9b8c-4a65-b419-109cd241fa22,Is there a headphones in the house?,existence,yes,[38],False,"{'colour': '', 'entity': 'a headphones', 'location': 'house'}"
3dc9bb93-f652-4ac1-9f04-1908a982c6be,Is there a jacket in the house?,existence,yes,[39],False,"{'colour': '', 'entity': 'a jacket', 'location': 'house'}"
16dff2e9-c442-4cad-80e0-f79350ce3bd6,Is there a lamp in the house?,existence,yes,"[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]",False,"{'colour': '', 'entity': 'a lamp', 'location': 'house'}"
156d963c-cf70-47cf-91ab-f962242d448a,Is there a notice board in the house?,existence,yes,"[55, 53, 54]",False,"{'colour': '', 'entity': 'a notice_board', 'location': 'house'}"
d17c17b2-dd0b-452e-b179-3180ffdeb90f,Is there an ottoman in the house?,existence,yes,[37],False,"{'colour': '', 'entity': 'an ottoman', 'location': 'house'}"
0ed22b41-fd1b-49e0-a0d9-e2823d179e28,Is there a painting in the house?,existence,yes,"[51, 52]",False,"{'colour': '', 'entity': 'a painting', 'location': 'house'}"
21e06d30-5ea6-4554-83b4-471e78ec2120,Is there a robot in the house?,existence,yes,"[58, 56, 57]",False,"{'colour': '', 'entity': 'a robot', 'location': 'house'}"
e0ab0ad2-21e3-4e0d-8b45-4981001f93eb,Is there a rubiks cube in the house?,existence,yes,"[61, 59, 62, 60]",False,"{'colour': '', 'entity': 'a rubiks_cube', 'location': 'house'}"
6f5e6b40-64ce-4ebd-9b87-539e50367bea,Is there a shoes in the house?,existence,yes,[63],False,"{'colour': '', 'entity': 'a shoes', 'location': 'house'}"
a03aadbe-2752-48d1-8926-49d76c1bfcf7,Is there a sign in the house?,existence,yes,"[68, 69, 65, 64, 70, 66, 67, 71, 72]",False,"{'colour': '', 'entity': 'a sign', 'location': 'house'}"
