question,question_type,answer,ambiguous,object_ids,room_ids,uid,origin
Is there a rack in the house?,existence,no,False,[],[],3dbca2c0-aad4-4d52-9a76-c7795b678ea7,template
Is there a shoes in the house?,existence,yes,False,[63],[],7f57fa67-2ceb-43c7-8c93-8493e6768c96,template
Is there a shower in the house?,existence,no,False,[],[],63061109-2798-4468-90d7-76b5de8f860d,template
Is there a sign in the house?,existence,yes,False,"[68, 69, 65, 64, 70, 66, 67, 71, 72]",[],e8a2f6c4-1333-4d14-8cfe-354a3f9d6629,template
Is there a sink in the house?,existence,no,False,[],[],babac1f1-fec7-46f5-8511-0f80e46694ff,template
Is there a sofa in the house?,existence,yes,False,[18],[],d9995dd7-154d-400a-9cbd-f24f9c4e864a,template
Is there a stereo set in the house?,existence,no,False,[],[],f7544a1a-00a5-47db-890c-d6fc7da6862f,template
Is there a t-shirt in the house?,existence,yes,False,[73],[],36a2b1c5-9b3d-407e-8883-d56e0b1790f9,template
Is there a table in the house?,existence,yes,False,[74],[],5fdac29b-5d7a-49c4-a49a-c7ec63f4e6cf,template
Is there a teapot in the house?,existence,yes,False,[75],[],145a1610-c29f-48ff-9c97-4e43462e1deb,template
Is there a teddy bear in the house?,existence,yes,False,"[77, 76]",[],69d9e3f2-4742-400f-836f-39d3d060934d,template
Is there a television in the house?,existence,no,False,[],[],3d7a4f02-69f6-4e50-b02a-8995cb558752,template
Is there a toilet in the house?,existence,no,False,[],[],8aef1935-fdcf-4cdd-9d44-29a27c85fd72,template
Is there a towel rack in the house?,existence,no,False,[],[],c6aaf7bf-5991-47fb-b436-4733048ac361,template
Is there a trophy in the house?,existence,yes,False,[78],[],957a713a-bfa4-468e-a0cf-1b25187dfcfa,template
Is there a tv stand in the house?,existence,no,False,[],[],ffda36c4-3f3d-4ef0-a291-e0705e798be6,template
Is there a utensil holder in the house?,existence,no,False,[],[],1d37d7a1-e1f2-42d1-b29f-1ff038981e1e,template
Is there a vacuum cleaner in the house?,existence,no,False,[],[],d454d55b-dee2-405a-ade9-a781da9f7ba3,template
Is there a vase in the house?,existence,yes,False,"[80, 79]",[],477de712-175a-406a-bb3f-e9134f78898f,template
Is there a wardrobe cabinet in the house?,existence,no,False,[],[],d40aaea6-66a6-4c83-a8c8-e8b6c24d2a06,template
Is there a washer in the house?,existence,no,False,[],[],1b337a43-4bcf-48c2-bd3c-763c5145b051,template
Is there a water dispenser in the house?,existence,no,False,[],[],20eb6584-fca8-4a8d-9e3f-9f8859f44629,template
Is there a window in the house?,existence,yes,False,"[82, 84, 83, 81, 85]",[],74b4a79a-66c7-4f2f-92ed-9699cc2a0400,template
Is there a wine bottle in the house?,existence,yes,False,"[86, 88, 87]",[],9cd0acc7-e46a-4e34-9a94-d8081259c51e,template
Is there a wine glass in the house?,existence,yes,False,[89],[],bd971a19-e299-40a7-a35b-4318758c40cc,template
How many gyms are there in the house?,count,0,False,[],[0],58ca5871-0e63-41f3-b015-e0f69f61f30e,template
How many patios are there in the house?,count,0,False,[],[1],f72b2b4d-fa8c-4eb1-91fd-0750f764a802,template
How many lobbies are there in the house?,count,0,False,[],[2],5fd05384-4fb6-4b52-a25c-94a88134c193,template
How many offices are there in the house?,count,1,False,[],[3],65baf690-59d8-4ca0-9142-fb3bf5834321,template
How many garages are there in the house?,count,0,False,[],[4],3e4484cf-1fed-4c27-a286-e896044dd161,template
How many kitchens are there in the house?,count,0,False,[],[5],196b6376-6d8b-4ca5-b5a0-00a0c21e1994,template
How many dining rooms are there in the house?,count,0,False,[],[6],ca2e2339-84d0-468b-b4bd-2c02af630d98,template
How many living rooms are there in the house?,count,1,False,[],[7],11945a83-dcaa-4502-ad51-af983ac84bae,template
How many bedrooms are there in the house?,count,0,False,[],[8],beae122d-dce6-4098-a622-2da41e1ffffa,template
How many bathrooms are there in the house?,count,0,False,[],[9],d12177ca-a016-4042-bbb2-31a95ee631fd,template
How many elevators are there in the house?,count,0,False,[],[10],4c633e95-a7ed-413d-be12-3d8110529929,template
How many balconies are there in the house?,count,0,False,[],[11],ff0a3e08-7d24-46fa-8748-10be46f2ec7c,template
How many hallways are there in the house?,count,1,False,[],[12],72418d2e-0315-48f3-af4c-343d0948b6dc,template
How many apples are there in the house?,count,2,False,"[1, 0]",[],ef2eee1a-c6b2-4ff2-b729-4ad1c6b8c596,template
How many bags are there in the house?,count,5,False,"[5, 4, 2, 3, 6]",[],025f3b42-d23a-4558-b758-5e34c64498d6,template
How many balls are there in the house?,count,2,False,"[8, 7]",[],70e7e8c8-99a7-4f84-a546-b5aafa660aaa,template
How many bathtubs are there in the house?,count,0,False,[],[],9a1c3a4b-1ff8-477a-a3eb-a812edd947fd,template
How many beds are there in the house?,count,0,False,[],[],a2f5de39-1b28-4051-995e-bc49cdec3770,template
How many books are there in the house?,count,2,False,"[9, 10]",[],7396b23a-de9d-434d-a1ba-af8270612b9d,template
How many bookshelves are there in the house?,count,1,False,[17],[],124b7c46-4c32-418b-a39f-7541cecf6451,template
How many boxes are there in the house?,count,1,False,[11],[],a2480b83-eed6-4a1a-86aa-425e7b354195,template
How many chairs are there in the house?,count,5,False,"[14, 16, 13, 15, 12]",[],b39ac396-cc92-40cc-b7ee-bbf3e01dcfb5,template
How many chessboards are there in the house?,count,0,False,[],[],4a66c33a-279d-479a-b050-deba982b1a78,template
How many coffee machines are there in the house?,count,0,False,[],[],41483723-b5ba-4ccc-94ab-73b3a0ac7178,template
How many computers are there in the house?,count,0,False,[],[],fa1cfe2e-be33-48e9-a8d8-4941ed88c726,template
How many cups are there in the house?,count,2,False,"[20, 19]",[],542bb861-e5e5-482c-bb05-0085266afd79,template
How many cutting boards are there in the house?,count,0,False,[],[],afc48185-d396-4353-953c-b87df18b7213,template
How many desks are there in the house?,count,2,False,"[21, 22]",[],e19862a5-4297-4278-a3c5-d3be64411b1c,template
How many dishwashers are there in the house?,count,0,False,[],[],348cd133-cd03-4a19-a80d-b0e628239303,template
How many doors are there in the house?,count,8,False,"[25, 29, 24, 28, 23, 27, 30, 26]",[],18f691b8-8ab0-4077-9aab-96f7d648cbce,template
How many door handles are there in the house?,count,6,False,"[34, 31, 32, 33, 35, 36]",[],a2bd9d1c-1600-40f3-9d45-037d2115a469,template
How many dressers are there in the house?,count,0,False,[],[],037f4ba9-25be-4cf6-8033-5e73dd0c4d78,template
How many dressing tables are there in the house?,count,0,False,[],[],19d30668-580f-4f67-9684-c6bfd2488cb1,template
How many dryers are there in the house?,count,0,False,[],[],224cf24a-7ccc-4ba9-a779-dee6d34b7db3,template
How many fireplaces are there in the house?,count,0,False,[],[],a1f40b7e-6bed-41b8-aafe-394d21ddb72e,template
How many fish tanks are there in the house?,count,0,False,[],[],2391f171-f5dd-4061-865c-7f824e280576,template
How many food processors are there in the house?,count,0,False,[],[],dfb8aca3-465b-4420-9a88-47688d63d4ba,template
How many fruit bowls are there in the house?,count,0,False,[],[],8467193b-6a40-42a8-92ae-514f2862f44a,template
How many game consoles are there in the house?,count,0,False,[],[],01a52fb5-4372-411c-aaaf-a0f0eea43452,template
How many headphone are there in the house?,count,1,False,[38],[],7518e30a-0e27-4a55-b13f-e5f601d8dd7e,template
How many heaters are there in the house?,count,0,False,[],[],fec8e552-80d7-4793-8f55-bc53acde853c,template
How many ironing boards are there in the house?,count,0,False,[],[],5d3ea1c0-b433-4cc1-a28a-b0c3128d0fdb,template
How many jackets are there in the house?,count,1,False,[39],[],6485de1f-7803-416b-a48a-3abc7ad6f51c,template
How many kettles are there in the house?,count,0,False,[],[],e4d7335f-05d5-4433-8ed9-0e29909acec6,template
How many lamps are there in the house?,count,11,False,"[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]",[],7c54022a-ae89-44e1-bbc2-fc14099c297e,template
How many loudspeakers are there in the house?,count,0,False,[],[],68be8544-559a-4d1e-a98e-8303ae43e802,template
How many microwaves are there in the house?,count,0,False,[],[],c7199d01-ce18-4f28-80ee-afd8018eb767,template
How many mirrors are there in the house?,count,0,False,[],[],b2036a85-e83d-4614-8806-61b15b9a8c6b,template
How many notice boards are there in the house?,count,3,False,"[55, 53, 54]",[],359ab21a-26a8-4acf-b557-1d4addf9ac50,template
How many ottomans are there in the house?,count,1,False,[37],[],397ff200-f93f-487e-b3bd-a11bf50f9220,template
How many paintings are there in the house?,count,2,False,"[51, 52]",[],4ab91849-2027-477c-962f-a79f969baec5,template
How many pans are there in the house?,count,0,False,[],[],df63c436-56c3-4c3d-b32a-fd81d3686749,template
How many pianos are there in the house?,count,0,False,[],[],f61c27a8-1890-46bc-bfaf-5aec2cffc6fd,template
How many plate are there in the house?,count,0,False,[],[],26f1c129-eb4a-43b7-a017-2cb40437b902,template
How many range ovens are there in the house?,count,0,False,[],[],60338fa6-4388-42d9-9295-589ae375212e,template
How many refrigerators are there in the house?,count,0,False,[],[],68a2dccb-620f-4a93-a302-0cae5297a1e6,template
How many robots are there in the house?,count,3,False,"[58, 56, 57]",[],b5b10d90-ef82-477c-9568-2f4409cb5b3b,template
How many rubiks cubes are there in the house?,count,4,False,"[61, 59, 62, 60]",[],ebd7dfa2-c80e-4b57-a16f-3d3a0185afb6,template
How many rugs are there in the house?,count,0,False,[],[],ff805eb1-fa2d-41f6-ba6b-9bcf5d5c8563,template
How many racks are there in the house?,count,0,False,[],[],bc51888d-323e-468a-b0a5-0e0ebee5c9b4,template
How many shoe are there in the house?,count,1,False,[63],[],d81b12d1-5ac9-400c-823e-c5884b9f3f21,template
How many showers are there in the house?,count,0,False,[],[],a8cb96b4-07fd-41ac-9fd5-bd470dffb0fc,template
How many signs are there in the house?,count,9,False,"[68, 69, 65, 64, 70, 66, 67, 71, 72]",[],66b18f8c-f231-48ed-882f-9b6e904ec76f,template
How many sinks are there in the house?,count,0,False,[],[],c6a0a868-0c98-4aaf-902e-3fedb92103c9,template
How many sofas are there in the house?,count,1,False,[18],[],8c9cb9d7-3514-4151-8f70-24cbf3b9768a,template
How many stereo sets are there in the house?,count,0,False,[],[],55ee80e4-e7e4-44fe-a63b-d7cfebe9a54f,template
How many t-shirts are there in the house?,count,1,False,[73],[],d81a4c0b-a958-49c2-924f-369544a663fd,template
How many tables are there in the house?,count,1,False,[74],[],a9e17125-874c-4c1d-9921-bd55c32d2847,template
How many teapots are there in the house?,count,1,False,[75],[],2f324d53-9eef-4995-9424-88624e908b0d,template
How many teddy bears are there in the house?,count,2,False,"[77, 76]",[],75fbe4f4-ad3b-4ad0-b698-a637de3853bd,template
How many televisions are there in the house?,count,0,False,[],[],c53c4751-09fd-480e-b941-48575d4de338,template
How many toilets are there in the house?,count,0,False,[],[],86e130ea-5790-481a-bda7-fa0d8bdeced0,template
How many towel racks are there in the house?,count,0,False,[],[],5ff897f6-c2e1-4cce-8904-7e955236703f,template
How many trophies are there in the house?,count,1,False,[78],[],85f69b6b-7ffa-42f2-9738-a2f818883ef5,template
How many tv stands are there in the house?,count,0,False,[],[],dd484e79-51cb-47db-921f-81e430d1fbdb,template
How many utensil holders are there in the house?,count,0,False,[],[],71f8c2f0-4327-4743-834f-4a35d42302fa,template
How many vacuum cleaners are there in the house?,count,0,False,[],[],14140ff6-5352-42fb-b177-c85cabc1df07,template
How many vases are there in the house?,count,2,False,"[80, 79]",[],907dc1b3-19df-4c23-becf-d5b7e96607da,template
How many wardrobe cabinets are there in the house?,count,0,False,[],[],0f4afe00-db6b-42be-be90-613ea9db9c22,template
How many washers are there in the house?,count,0,False,[],[],f3fdb330-ab3e-4c82-9d4b-14ad95839a11,template
How many water dispensers are there in the house?,count,0,False,[],[],36cbd427-3e95-42a4-b11f-cbbd636208a4,template
How many windows are there in the house?,count,5,False,"[82, 84, 83, 81, 85]",[],2738f371-0e06-4ff6-b5c4-9321d637eef6,template
How many wine bottles are there in the house?,count,3,False,"[86, 88, 87]",[],cb7e4b0d-15d3-497e-a57b-3adbebff322e,template
How many wine glasses are there in the house?,count,1,False,[89],[],db2ba0d4-29d0-47c8-86a7-4e7d376fb02d,template
What colour is the cup?,colour,"{20: ['white'], 19: ['white']}",True,"[20, 19]",[],8dbe904b-79a4-4d40-8e7c-d096025b0896,template
What colour is the rubiks cube?,colour,"{61: ['blue', 'red', 'yellow', 'green', 'orange', 'white'], 59: ['yellow', 'red', 'green', 'orange', 'blue', 'white'], 62: ['yellow', 'white', 'red', 'green', 'blue', 'orange'], 60: ['white', 'yellow', 'red', 'blue', 'orange', 'green']}",True,"[61, 59, 62, 60]",[],cb40d88f-fdbf-4192-9a2b-cd99872f55a8,template
What colour is the wine bottle?,colour,"{86: ['brown'], 88: ['green'], 87: ['green']}",True,"[86, 88, 87]",[],74d21931-47b1-4f97-9813-b57bbe0440f3,template
What colour is the teddy bear?,colour,"{77: ['orange'], 76: ['orange']}",True,"[77, 76]",[],7a7042f1-32aa-478f-ac34-b94f0fcaed0c,template
What colour is the book?,colour,"{9: ['blue'], 10: ['gray']}",True,"[9, 10]",[],eebd9ab9-1178-40d9-a7fd-aa75484ffd42,template
What colour is the desk?,colour,"{21: ['wooden'], 22: ['wooden']}",True,"[21, 22]",[],a1d0db63-2f36-4ec8-a085-fec92c208fe0,template
What colour is the window?,colour,"{82: ['transparent'], 84: ['transparent'], 83: ['transparent'], 81: ['transparent'], 85: ['transparent']}",True,"[82, 84, 83, 81, 85]",[],ec5b89b5-8d39-4d81-bf72-e20fd0339bb4,template
What colour is the ball?,colour,"{8: ['blue'], 7: ['white']}",True,"[8, 7]",[],b107cda3-0772-4c5f-8b03-625d51c17837,template
What colour is the bag?,colour,"{5: ['brown'], 4: ['white'], 2: ['blue'], 3: ['black'], 6: ['gray']}",True,"[5, 4, 2, 3, 6]",[],312b5fe7-9060-4692-9d7f-28f10cb1e3a5,template
What colour is the chair?,colour,"{14: ['blue'], 16: ['blue', 'black'], 13: ['blue'], 15: ['blue'], 12: ['wooden', 'gray']}",True,"[14, 16, 13, 15, 12]",[],a3385da0-8914-421c-b488-25681d82a202,template
What colour is the door?,colour,"{25: ['blue'], 29: ['blue'], 24: ['blue'], 28: ['white'], 23: ['white'], 27: ['blue'], 30: ['blue'], 26: ['blue']}",True,"[25, 29, 24, 28, 23, 27, 30, 26]",[],85af6ca5-3618-4cfe-b241-3b0e5900d0e1,template
What colour is the box?,colour,{11: ['brown']},False,[11],[],48659307-262f-4f82-8611-eac03bb50b55,template
What colour is the jacket?,colour,{39: ['beige']},False,[39],[],bca698f4-d017-4009-8dd9-27189a9e36fc,template
What colour is the lamp?,colour,"{41: ['white'], 45: ['white'], 46: ['white'], 40: ['white'], 50: ['white'], 47: ['white'], 48: ['white'], 42: ['white'], 43: ['white'], 49: ['white'], 44: ['white']}",True,"[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]",[],af8eb089-c458-4a01-8478-bc1a0f2f2ab6,template
What colour is the door handle?,colour,"{34: ['white'], 31: ['white'], 32: ['white'], 33: ['blue'], 35: ['white'], 36: ['white']}",True,"[34, 31, 32, 33, 35, 36]",[],f4d5f85b-0f8c-4f5e-a38a-4d4f6f31d2cb,template
What colour is the sign?,colour,"{68: ['orange'], 69: ['orange'], 65: ['orange'], 64: ['green'], 70: ['orange'], 66: ['green'], 67: ['red'], 71: ['white'], 72: ['red']}",True,"[68, 69, 65, 64, 70, 66, 67, 71, 72]",[],da760a91-93a9-4e73-bd63-2e9e4cc54df9,template
What colour is the ottoman?,colour,"{37: ['wooden', 'black']}",False,[37],[],93242071-fa67-44f5-96d7-c82c8612a474,template
What colour is the t-shirt?,colour,{73: ['orange']},False,[73],[],82c6f742-e876-4b21-b7f4-1bc4a592438b,template
What colour is the painting?,colour,"{51: ['white'], 52: ['blue', 'yellow', 'black']}",True,"[51, 52]",[],a73ef838-fa3d-4ce9-bb4d-beedecad1903,template
What colour is the notice board?,colour,"{55: ['gray'], 53: ['gray'], 54: ['gray']}",True,"[55, 53, 54]",[],d2a448e6-d174-43c9-b343-133c8699472c,template
What colour is the bookshelf?,colour,{17: ['white']},False,[17],[],97148e89-116e-41ff-948f-0f0fad52ee38,template
What colour is the shoes?,colour,{63: ['gray']},False,[63],[],7e5a9262-637d-4d9f-be06-78a700ed48ef,template
What colour is the table?,colour,{74: ['white']},False,[74],[],6c3c5da5-1aa7-4e9a-a07c-8250139a9995,template
What colour is the vase?,colour,"{80: ['transparent'], 79: ['transparent']}",True,"[80, 79]",[],c45d114a-7ee6-40ce-8e19-74add57b75bd,template
What colour is the headphones?,colour,{38: ['black']},False,[38],[],a3189c68-68fa-48f1-a6d0-3405940cc8f8,template
What colour is the teapot?,colour,{75: ['white']},False,[75],[],980bbd41-6ece-4b54-aaac-3680898d08cf,template
What colour is the apple?,colour,"{1: ['red'], 0: ['red']}",True,"[1, 0]",[],4f22b629-76ee-49ed-bdab-73737152328e,template
What colour is the robot?,colour,"{58: ['silver'], 56: ['white'], 57: ['silver']}",True,"[58, 56, 57]",[],4ce43f05-1159-4fb2-ab38-6e101ee00f51,template
What colour is the wine glass?,colour,{89: ['transparent']},False,[89],[],b8092e88-0166-4acd-a81d-16e8e86cb1d7,template
What colour is the sofa?,colour,{18: ['brown']},False,[18],[],583ba667-a423-4c7e-a5d5-92a43fa1d0bd,template
What colour is the trophy?,colour,{78: ['silver']},False,[78],[],a50aad5b-b2ef-4d7f-ae95-5db251125310,template
What room is the cup located in?,location,"{20: 'office', 19: 'living room'}",True,"[20, 19]",[],b958db2c-bdb5-49e4-b295-c23e1a6c3598,template
What room is the rubiks cube located in?,location,"{61: 'office', 59: 'living room', 62: 'living room', 60: 'living room'}",True,"[61, 59, 62, 60]",[],e29f6886-ea55-4e4a-a616-78c0bd9fdc46,template
What room is the wine bottle located in?,location,"{86: 'office', 88: 'living room', 87: 'living room'}",True,"[86, 88, 87]",[],642cc36d-9998-42f0-82c5-6da38f27200a,template
What room is the teddy bear located in?,location,"{77: 'office', 76: 'living room'}",True,"[77, 76]",[],468c627a-454a-46af-9a7b-cc864b73ded8,template
What room is the book located in?,location,"{9: 'office', 10: 'living room'}",True,"[9, 10]",[],9a3e627f-ff7c-4c78-953d-387b1f12435a,template
What room is the desk located in?,location,"{21: 'office', 22: 'living room'}",True,"[21, 22]",[],656c6ae2-0256-4b20-93b2-e6fef2566831,template
What room is the window located in?,location,"{82: 'office', 84: 'office', 83: 'hallway', 81: 'living room', 85: 'living room'}",True,"[82, 84, 83, 81, 85]",[],02c670bb-f1e5-490e-85e9-4fe4888e56d9,template
What room is the ball located in?,location,"{8: 'office', 7: 'living room'}",True,"[8, 7]",[],2b730885-433a-4160-8422-d12ed8aca876,template
What room is the bag located in?,location,"{5: 'office', 4: 'office', 2: 'living room', 3: 'living room', 6: 'living room'}",True,"[5, 4, 2, 3, 6]",[],a21f14ad-8176-4546-952f-65b411575c5c,template
What room is the chair located in?,location,"{14: 'office', 16: 'office', 13: 'living room', 15: 'living room', 12: 'living room'}",True,"[14, 16, 13, 15, 12]",[],65b8f7a8-b20c-4799-ad88-4ac401cf79d2,template
What room is the door located in?,location,"{25: 'hallway', 29: 'office', 24: 'hallway', 28: 'hallway', 23: 'hallway', 27: 'hallway', 30: 'hallway', 26: 'living room'}",True,"[25, 29, 24, 28, 23, 27, 30, 26]",[],c744d517-6aea-43c3-8065-861a410c945d,template
What room is the box located in?,location,{11: 'office'},False,[11],[],4fd75570-5c00-4fef-b100-61125ac40596,template
What room is the jacket located in?,location,{39: 'office'},False,[39],[],9d8b5983-8158-4b0d-aebf-16bd0b521885,template
What room is the lamp located in?,location,"{41: 'hallway', 45: 'office', 46: 'office', 40: 'hallway', 50: 'hallway', 47: 'hallway', 48: 'hallway', 42: 'living room', 43: 'living room', 49: 'living room', 44: 'living room'}",True,"[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]",[],3b141b71-3941-4721-ab15-6e850b80bb17,template
What room is the door handle located in?,location,"{34: 'hallway', 31: 'office', 32: 'hallway', 33: 'hallway', 35: 'hallway', 36: 'living room'}",True,"[34, 31, 32, 33, 35, 36]",[],9c194071-be95-4dc4-a7d1-4c615a80709f,template
What room is the sign located in?,location,"{68: 'hallway', 69: 'hallway', 65: 'hallway', 64: 'hallway', 70: 'hallway', 66: 'hallway', 67: 'hallway', 71: 'hallway', 72: 'hallway'}",True,"[68, 69, 65, 64, 70, 66, 67, 71, 72]",[],84900d2b-a725-474c-ab8d-47aaf0a02785,template
What room is the ottoman located in?,location,{37: 'living room'},False,[37],[],9791783a-1d30-4c06-8ab9-62be900fab74,template
What room is the t-shirt located in?,location,{73: 'living room'},False,[73],[],c2a8342f-b497-4ef8-850f-d25f8f06d045,template
What room is the painting located in?,location,"{51: 'living room', 52: 'living room'}",True,"[51, 52]",[],3b233c78-0399-44c5-be82-da8244e9c229,template
What room is the notice board located in?,location,"{55: 'hallway', 53: 'hallway', 54: 'hallway'}",True,"[55, 53, 54]",[],96cae5de-5867-4e22-92ef-6fa9ca2a1f97,template
What room is the bookshelf located in?,location,{17: 'living room'},False,[17],[],5209d512-5480-44ad-99aa-15623392f97c,template
What room is the shoes located in?,location,{63: 'living room'},False,[63],[],829074c0-10c4-4e44-a5db-dac935e33bf7,template
What room is the table located in?,location,{74: 'living room'},False,[74],[],af0c988d-2015-4619-b51a-0e4d374c7265,template
