question,question_type,answer,ambiguous,object_ids,room_ids,uid,origin,kwargs
How many dining rooms are there in the house?,count_room,0,False,[],[],1d4ee04d-f350-4d82-8420-0181af781426,template,"{'colour': '', 'entity': 'dining rooms', 'location': 'house'}"
Is there an office and a living room in the house?,conjunction_room,yes,False,[],"[[3], [7]]",0c9c727f-f4a4-47ad-ac26-5e5623e17db5,template,"{'colour1': '', 'colour2': '', 'entity1': 'an office', 'entity2': 'a living room', 'location': 'house'}"
Is there an office and a hallway in the house?,conjunction_room,yes,False,[],"[[3], [12]]",2b9de71c-06e8-483c-8e74-6658716e8e55,template,"{'colour1': '', 'colour2': '', 'entity1': 'an office', 'entity2': 'a hallway', 'location': 'house'}"
Is there a living room and a hallway in the house?,conjunction_room,yes,False,[],"[[7], [12]]",1fc844e0-4e64-4ad2-a509-47647ad10a5f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a living room', 'entity2': 'a hallway', 'location': 'house'}"
Is there a gym and a kitchen in the house?,conjunction_room,no,False,[],"[[], []]",d36a6efc-9dfe-4da3-b502-52dd135eb42e,template,"{'colour1': '', 'colour2': '', 'entity1': 'a gym', 'entity2': 'a kitchen', 'location': 'house'}"
Is there a living room and an elevator in the house?,conjunction_room,no,False,[],"[[7], []]",0d9362e8-5b16-460d-83f1-7bf0af1cea88,template,"{'colour1': '', 'colour2': '', 'entity1': 'a living room', 'entity2': 'an elevator', 'location': 'house'}"
Is there a gym and a balcony in the house?,conjunction_room,no,False,[],"[[], []]",b0b00f54-ccc3-4b3a-8e08-7523fac4abfa,template,"{'colour1': '', 'colour2': '', 'entity1': 'a gym', 'entity2': 'a balcony', 'location': 'house'}"
Is there an elevator or a hallway in the house?,disjunction_room,yes,False,[],"[[], [12]]",045746aa-d929-46c4-a017-e0b729f00c63,template,"{'colour1': '', 'colour2': '', 'entity1': 'an elevator', 'entity2': 'a hallway', 'location': 'house'}"
Is there an office or an elevator in the house?,disjunction_room,yes,False,[],"[[3], []]",e97ffe1b-1e1d-491f-938b-117166121661,template,"{'colour1': '', 'colour2': '', 'entity1': 'an office', 'entity2': 'an elevator', 'location': 'house'}"
Is there a living room or an elevator in the house?,disjunction_room,yes,False,[],"[[7], []]",33c15ded-1cdd-4c88-96a1-c887b9f3687a,template,"{'colour1': '', 'colour2': '', 'entity1': 'a living room', 'entity2': 'an elevator', 'location': 'house'}"
Is there a bedroom or a bathroom in the house?,disjunction_room,no,False,[],"[[], []]",cbda576e-d300-4064-9b8c-1e53c19c8663,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bedroom', 'entity2': 'a bathroom', 'location': 'house'}"
Is there a garage or a dining room in the house?,disjunction_room,no,False,[],"[[], []]",831c82f8-6757-4236-9b64-2514d2666247,template,"{'colour1': '', 'colour2': '', 'entity1': 'a garage', 'entity2': 'a dining room', 'location': 'house'}"
Is there a garage or a bedroom in the house?,disjunction_room,no,False,[],"[[], []]",48555083-3dc9-4f90-ab0e-b4accee4b5d9,template,"{'colour1': '', 'colour2': '', 'entity1': 'a garage', 'entity2': 'a bedroom', 'location': 'house'}"
Is there a bag and a box in the house?,conjunction_object,yes,False,"[[5, 4, 2, 3, 6], [11]]",[],db48f173-2d80-4ddf-8239-69d2e42cfdf8,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a box', 'location': 'house'}"
Is there a bag and a cup in the house?,conjunction_object,yes,False,"[[5, 4, 2, 3, 6], [20, 19]]",[],3e199641-c3b0-404f-aa41-2b93c20fcd10,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a cup', 'location': 'house'}"
Is there a bag and a wine glass in the house?,conjunction_object,yes,False,"[[5, 4, 2, 3, 6], [89]]",[],a902598d-6d8c-4f38-be38-38939cd8fd8b,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a wine_glass', 'location': 'house'}"
Is there a box and a cup in the house?,conjunction_object,yes,False,"[[11], [20, 19]]",[],2338908e-1e11-4151-92f8-7c5b33b7546f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a cup', 'location': 'house'}"
Is there a box and a wine glass in the house?,conjunction_object,yes,False,"[[11], [89]]",[],3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,template,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a wine_glass', 'location': 'house'}"
Is there a chair and a desk in the house?,conjunction_object,yes,False,"[[14, 16, 13, 15, 12], [21, 22]]",[],8081819c-143c-4a53-8631-510112e2fc6d,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a desk', 'location': 'house'}"
Is there a chair and a lamp in the house?,conjunction_object,yes,False,"[[14, 16, 13, 15, 12], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],2dddf62a-a580-446b-815b-76d7b822b55a,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a lamp', 'location': 'house'}"
Is there a chair and an ottoman in the house?,conjunction_object,yes,False,"[[14, 16, 13, 15, 12], [37]]",[],3988f449-cf0d-4484-9a6e-071ae382fdc6,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'an ottoman', 'location': 'house'}"
Is there a chair and a sofa in the house?,conjunction_object,yes,False,"[[14, 16, 13, 15, 12], [18]]",[],572c0d4c-1f14-47a1-b954-f793e400a268,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a sofa', 'location': 'house'}"
Is there a chair and a table in the house?,conjunction_object,yes,False,"[[14, 16, 13, 15, 12], [74]]",[],84060e0a-7c57-4dd3-9407-cba949387f34,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a table', 'location': 'house'}"
Is there a cup and a wine glass in the house?,conjunction_object,yes,False,"[[20, 19], [89]]",[],e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a wine_glass', 'location': 'house'}"
Is there a desk and a lamp in the house?,conjunction_object,yes,False,"[[21, 22], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],55537f91-e191-4927-a3f0-999229096690,template,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a lamp', 'location': 'house'}"
Is there a desk and a sofa in the house?,conjunction_object,yes,False,"[[21, 22], [18]]",[],4718181a-3b2a-42ca-8591-08f2e7053c94,template,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a sofa', 'location': 'house'}"
Is there a desk and a table in the house?,conjunction_object,yes,False,"[[21, 22], [74]]",[],3592a46c-6228-41df-9a8b-0025693dc9f8,template,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a table', 'location': 'house'}"
Is there a lamp and a sofa in the house?,conjunction_object,yes,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [18]]",[],10dbcfcd-2d95-4c86-b3aa-c8f643c86697,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a sofa', 'location': 'house'}"
Is there a lamp and a table in the house?,conjunction_object,yes,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [74]]",[],89033f8d-6610-4cfc-bfca-14f72fbdf190,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a table', 'location': 'house'}"
Is there an ottoman and a sofa in the house?,conjunction_object,yes,False,"[[37], [18]]",[],4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,template,"{'colour1': '', 'colour2': '', 'entity1': 'an ottoman', 'entity2': 'a sofa', 'location': 'house'}"
Is there a painting and a rubiks cube in the house?,conjunction_object,yes,False,"[[51, 52], [61, 59, 62, 60]]",[],e1aba439-e57d-4fb2-875c-75b60c3b9225,template,"{'colour1': '', 'colour2': '', 'entity1': 'a painting', 'entity2': 'a rubiks_cube', 'location': 'house'}"
Is there a painting and a teddy bear in the house?,conjunction_object,yes,False,"[[51, 52], [77, 76]]",[],20967a93-0808-465d-b451-e19dd715b9b5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a painting', 'entity2': 'a teddy_bear', 'location': 'house'}"
Is there a rubiks cube and a teddy bear in the house?,conjunction_object,yes,False,"[[61, 59, 62, 60], [77, 76]]",[],f3c6a4e4-85a2-41f2-909d-88bd48a6d200,template,"{'colour1': '', 'colour2': '', 'entity1': 'a rubiks_cube', 'entity2': 'a teddy_bear', 'location': 'house'}"
Is there a sofa and a table in the house?,conjunction_object,yes,False,"[[18], [74]]",[],e94472f3-2bc4-4e46-8dba-4fe952c0d9f5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a sofa', 'entity2': 'a table', 'location': 'house'}"
Is there a teapot and a vase in the house?,conjunction_object,yes,False,"[[75], [80, 79]]",[],9ecf4fe7-2f3b-4cef-873b-b8cd3bb0a5eb,template,"{'colour1': '', 'colour2': '', 'entity1': 'a teapot', 'entity2': 'a vase', 'location': 'house'}"
Is there a teapot and a wine bottle in the house?,conjunction_object,yes,False,"[[75], [86, 88, 87]]",[],a8227ec4-b17f-456c-a08d-17f16b7163de,template,"{'colour1': '', 'colour2': '', 'entity1': 'a teapot', 'entity2': 'a wine_bottle', 'location': 'house'}"
Is there a vase and a wine bottle in the house?,conjunction_object,yes,False,"[[80, 79], [86, 88, 87]]",[],7a0b86b4-c646-420f-be66-ebd17824c04a,template,"{'colour1': '', 'colour2': '', 'entity1': 'a vase', 'entity2': 'a wine_bottle', 'location': 'house'}"
Is there a dishwasher and a refrigerator in the house?,conjunction_object,no,False,"[[], []]",[],43dd9d2d-5582-4536-9ee0-7ec3918de953,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dishwasher', 'entity2': 'a refrigerator', 'location': 'house'}"
Is there a fruit bowl and a kettle in the house?,conjunction_object,no,False,"[[], []]",[],406545d9-14d4-47b1-89d8-47230a5d26a0,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fruit_bowl', 'entity2': 'a kettle', 'location': 'house'}"
Is there a bed and a lamp in the house?,conjunction_object,no,False,"[[], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],07fa0291-7548-4877-bfc6-c399be249293,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a lamp', 'location': 'house'}"
Is there a chair and a wardrobe cabinet in the house?,conjunction_object,no,False,"[[14, 16, 13, 15, 12], []]",[],be320969-d4db-43c5-9c05-a1abfcf18d79,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a fish tank and a vase in the house?,conjunction_object,no,False,"[[], [80, 79]]",[],8b5db969-9f9c-44d2-be4f-cd576388d733,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a vase', 'location': 'house'}"
Is there a rug and a wardrobe cabinet in the house?,conjunction_object,no,False,"[[], []]",[],fc24e07f-6095-4e84-acf6-e5ee0a3ae582,template,"{'colour1': '', 'colour2': '', 'entity1': 'a rug', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a dishwasher and a range oven in the house?,conjunction_object,no,False,"[[], []]",[],82e6d924-2b14-4ce5-b004-71992b80ad73,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dishwasher', 'entity2': 'a range_oven', 'location': 'house'}"
Is there a towel rack and a window in the house?,conjunction_object,no,False,"[[], [82, 84, 83, 81, 85]]",[],1af2d40f-1613-40f2-8ca1-326a459011b3,template,"{'colour1': '', 'colour2': '', 'entity1': 'a towel_rack', 'entity2': 'a window', 'location': 'house'}"
Is there a dresser and a tv stand in the house?,conjunction_object,no,False,"[[], []]",[],c72a4939-4f2b-47a5-b51c-64648a9e7821,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a tv_stand', 'location': 'house'}"
Is there a box and a rug in the house?,conjunction_object,no,False,"[[11], []]",[],ae943942-726c-4860-a9ce-4281f17d722e,template,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a rug', 'location': 'house'}"
Is there a cup and a heater in the house?,conjunction_object,no,False,"[[20, 19], []]",[],6b479eab-741c-43d5-9b97-5c516612fd7b,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a heater', 'location': 'house'}"
Is there a box and a water dispenser in the house?,conjunction_object,no,False,"[[11], []]",[],603c58f7-ee9b-4e30-aada-5d72556da2ae,template,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a cup and a water dispenser in the house?,conjunction_object,no,False,"[[20, 19], []]",[],f6a9ac90-e1d2-4b9f-87de-0650e09021ad,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a bag and a water dispenser in the house?,conjunction_object,no,False,"[[5, 4, 2, 3, 6], []]",[],29e39233-727d-44f0-aba5-76483cde3eb4,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a kettle and a wine bottle in the house?,conjunction_object,no,False,"[[], [86, 88, 87]]",[],619e5851-8435-4c0b-abe6-1271afc4fe2a,template,"{'colour1': '', 'colour2': '', 'entity1': 'a kettle', 'entity2': 'a wine_bottle', 'location': 'house'}"
Is there a lamp and a wardrobe cabinet in the house?,conjunction_object,no,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",[],9b40bf37-ee4f-42b2-8acd-27143bfa6e6e,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a coffee machine and a refrigerator in the house?,conjunction_object,no,False,"[[], []]",[],009b1a60-a2b4-4ce8-813a-e1d3c752fa92,template,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a refrigerator', 'location': 'house'}"
Is there a food processor and a vacuum cleaner in the house?,conjunction_object,no,False,"[[], []]",[],e657f653-7d2e-479b-82d3-af560942eb78,template,"{'colour1': '', 'colour2': '', 'entity1': 'a food_processor', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
Is there a computer and a mirror in the house?,conjunction_object,no,False,"[[], []]",[],46053249-d46a-4cd1-a287-f4d6dd464944,template,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a mirror', 'location': 'house'}"
Is there a dresser and a sofa in the house?,conjunction_object,no,False,"[[], [18]]",[],4a29e6f9-c7e5-4346-bb9f-000c3459dc89,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a sofa', 'location': 'house'}"
Is there a bed and a dressing table in the house?,conjunction_object,no,False,"[[], []]",[],afcdda7a-4d10-460e-9a6c-db8903e34778,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a dressing_table', 'location': 'house'}"
Is there a bathtub and a teapot in the house?,conjunction_object,no,False,"[[], [75]]",[],531fd005-4e4f-4190-8e6a-7629f4d9355f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a teapot', 'location': 'house'}"
Is there a computer and a utensil holder in the house?,conjunction_object,no,False,"[[], []]",[],03070289-baf3-4a2c-ba19-254794ba4445,template,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a utensil_holder', 'location': 'house'}"
Is there a bathtub and a vase in the house?,conjunction_object,no,False,"[[], [80, 79]]",[],9918efdb-a857-448c-afc9-16abfc765683,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a vase', 'location': 'house'}"
Is there a cup or a wine glass in the house?,disjunction_object,yes,False,"[[20, 19], [89]]",[],006acec2-754f-4d0b-a67a-09eadc39a2d5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a wine_glass', 'location': 'house'}"
Is there a box or a rug in the house?,disjunction_object,yes,False,"[[11], []]",[],0215b6a5-675f-4123-8bdd-82f75b1763bc,template,"{'colour1': '', 'colour2': '', 'entity1': 'a box', 'entity2': 'a rug', 'location': 'house'}"
Is there a fish tank or a vase in the house?,disjunction_object,yes,False,"[[], [80, 79]]",[],2456d79d-82a5-477c-8f8d-2e4856178a3f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a vase', 'location': 'house'}"
Is there a towel rack or a window in the house?,disjunction_object,yes,False,"[[], [82, 84, 83, 81, 85]]",[],411947a2-b339-4603-a660-11767aeea030,template,"{'colour1': '', 'colour2': '', 'entity1': 'a towel_rack', 'entity2': 'a window', 'location': 'house'}"
Is there a bag or a bathtub in the house?,disjunction_object,yes,False,"[[5, 4, 2, 3, 6], []]",[],566432c4-53c4-471f-8b76-e00eadcd22b5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a bathtub', 'location': 'house'}"
Is there a chair or a dresser in the house?,disjunction_object,yes,False,"[[14, 16, 13, 15, 12], []]",[],d23f2beb-541a-4762-b0c4-03b1f77d9da9,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a dresser', 'location': 'house'}"
Is there a cup or a water dispenser in the house?,disjunction_object,yes,False,"[[20, 19], []]",[],221a6ef4-25a6-465a-8d2f-a37b6b296886,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a lamp or a rug in the house?,disjunction_object,yes,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",[],0ce8d470-d91a-4be7-b8dd-c6e43effb112,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a rug', 'location': 'house'}"
Is there a bathtub or a teapot in the house?,disjunction_object,yes,False,"[[], [75]]",[],f7d42048-b940-46c3-8443-d2e212da6296,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a teapot', 'location': 'house'}"
Is there a desk or a sofa in the house?,disjunction_object,yes,False,"[[21, 22], [18]]",[],4cfa5c56-9e8b-40a6-9268-097a13dcaa2f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a desk', 'entity2': 'a sofa', 'location': 'house'}"
Is there a table or a wardrobe cabinet in the house?,disjunction_object,yes,False,"[[74], []]",[],e1dab541-ac23-4942-824e-b38097d08d6f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a table', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a cup or a fruit bowl in the house?,disjunction_object,yes,False,"[[20, 19], []]",[],d5b21bbe-177e-442f-9d68-a1b5b80bfd3d,template,"{'colour1': '', 'colour2': '', 'entity1': 'a cup', 'entity2': 'a fruit_bowl', 'location': 'house'}"
Is there a lamp or a wardrobe cabinet in the house?,disjunction_object,yes,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], []]",[],51dd2422-b86f-41d9-a298-481ef8582191,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a heater or a robot in the house?,disjunction_object,yes,False,"[[], [58, 56, 57]]",[],3a0778ed-5e3d-426f-b1b0-5a1e202b2707,template,"{'colour1': '', 'colour2': '', 'entity1': 'a heater', 'entity2': 'a robot', 'location': 'house'}"
Is there a bathtub or a wine bottle in the house?,disjunction_object,yes,False,"[[], [86, 88, 87]]",[],e5c7d3d8-675a-4f6d-a1f7-67de26014e56,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a wine_bottle', 'location': 'house'}"
Is there a bag or a heater in the house?,disjunction_object,yes,False,"[[5, 4, 2, 3, 6], []]",[],328981a0-62b2-42ca-ada9-15d88f1853b6,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bag', 'entity2': 'a heater', 'location': 'house'}"
Is there a bed or a table in the house?,disjunction_object,yes,False,"[[], [74]]",[],414fdc62-d29d-4461-9922-56bdf39a3db3,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a table', 'location': 'house'}"
Is there a chair or a lamp in the house?,disjunction_object,yes,False,"[[14, 16, 13, 15, 12], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],425577bb-09f5-41b0-992c-8d136d28198f,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a lamp', 'location': 'house'}"
Is there a dresser or a sofa in the house?,disjunction_object,yes,False,"[[], [18]]",[],699ccbdc-3bab-4116-8e5a-9fabf95a62dd,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dresser', 'entity2': 'a sofa', 'location': 'house'}"
Is there a kettle or a vase in the house?,disjunction_object,yes,False,"[[], [80, 79]]",[],cc75e70a-2e25-4911-839c-113712339d6c,template,"{'colour1': '', 'colour2': '', 'entity1': 'a kettle', 'entity2': 'a vase', 'location': 'house'}"
Is there a bed or a desk in the house?,disjunction_object,yes,False,"[[], [21, 22]]",[],862f5357-ba06-4e0a-8183-89a5fb420383,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a desk', 'location': 'house'}"
Is there a lamp or a sofa in the house?,disjunction_object,yes,False,"[[41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44], [18]]",[],bcb826ea-013d-4341-a46a-b65cbcc0e614,template,"{'colour1': '', 'colour2': '', 'entity1': 'a lamp', 'entity2': 'a sofa', 'location': 'house'}"
Is there a rubiks cube or a teddy bear in the house?,disjunction_object,yes,False,"[[61, 59, 62, 60], [77, 76]]",[],00e1f807-9f25-4641-917d-1ee11b41ef9c,template,"{'colour1': '', 'colour2': '', 'entity1': 'a rubiks_cube', 'entity2': 'a teddy_bear', 'location': 'house'}"
Is there a chair or a sofa in the house?,disjunction_object,yes,False,"[[14, 16, 13, 15, 12], [18]]",[],28822c61-9612-4a90-bd1c-b8e5189ca0a3,template,"{'colour1': '', 'colour2': '', 'entity1': 'a chair', 'entity2': 'a sofa', 'location': 'house'}"
Is there a range oven or a vacuum cleaner in the house?,disjunction_object,no,False,"[[], []]",[],90e85297-770e-4f8c-9fe5-1e99e758b9a5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a range_oven', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
Is there a shower or a sink in the house?,disjunction_object,no,False,"[[], []]",[],080170e4-a3e6-420d-936e-eaee4a00f291,template,"{'colour1': '', 'colour2': '', 'entity1': 'a shower', 'entity2': 'a sink', 'location': 'house'}"
Is there a bathtub or a fish tank in the house?,disjunction_object,no,False,"[[], []]",[],baecab5e-6582-4bed-a74d-8788199db501,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bathtub', 'entity2': 'a fish_tank', 'location': 'house'}"
Is there a heater or a water dispenser in the house?,disjunction_object,no,False,"[[], []]",[],2258ced4-6707-4b3b-9b93-d759d9170f9c,template,"{'colour1': '', 'colour2': '', 'entity1': 'a heater', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a bed or a dressing table in the house?,disjunction_object,no,False,"[[], []]",[],822d4bf3-7e21-4146-9c0c-91cf23abc85a,template,"{'colour1': '', 'colour2': '', 'entity1': 'a bed', 'entity2': 'a dressing_table', 'location': 'house'}"
Is there a shower or a toilet in the house?,disjunction_object,no,False,"[[], []]",[],1709fd96-8c92-4007-af68-dd17acb76d01,template,"{'colour1': '', 'colour2': '', 'entity1': 'a shower', 'entity2': 'a toilet', 'location': 'house'}"
Is there a computer or a mirror in the house?,disjunction_object,no,False,"[[], []]",[],a09424fb-f3d5-41b9-b0c7-9a4f09218edf,template,"{'colour1': '', 'colour2': '', 'entity1': 'a computer', 'entity2': 'a mirror', 'location': 'house'}"
Is there a coffee machine or a refrigerator in the house?,disjunction_object,no,False,"[[], []]",[],2ebd4848-7c8a-4eca-901b-aeaf41057f06,template,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a refrigerator', 'location': 'house'}"
Is there a vacuum cleaner or a washer in the house?,disjunction_object,no,False,"[[], []]",[],21113a7f-431c-4a2f-92c4-3f0f9addfe39,template,"{'colour1': '', 'colour2': '', 'entity1': 'a vacuum_cleaner', 'entity2': 'a washer', 'location': 'house'}"
Is there a dressing table or a wardrobe cabinet in the house?,disjunction_object,no,False,"[[], []]",[],bc815732-e6e8-49a1-a630-c168578b0fcb,template,"{'colour1': '', 'colour2': '', 'entity1': 'a dressing_table', 'entity2': 'a wardrobe_cabinet', 'location': 'house'}"
Is there a fish tank or a fruit bowl in the house?,disjunction_object,no,False,"[[], []]",[],0a2dc1cc-52c9-45ed-b710-e6a9b80188c4,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a fruit_bowl', 'location': 'house'}"
Is there a coffee machine or a food processor in the house?,disjunction_object,no,False,"[[], []]",[],6bca6b50-1b9b-42e5-9999-ce304c3c04df,template,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a food_processor', 'location': 'house'}"
Is there a fruit bowl or a water dispenser in the house?,disjunction_object,no,False,"[[], []]",[],b3e925bf-851f-4ec8-a046-31514e94f7f5,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fruit_bowl', 'entity2': 'a water_dispenser', 'location': 'house'}"
Is there a coffee machine or a vacuum cleaner in the house?,disjunction_object,no,False,"[[], []]",[],b3d77a23-ca70-4c8c-acc0-2f5ed328671c,template,"{'colour1': '', 'colour2': '', 'entity1': 'a coffee_machine', 'entity2': 'a vacuum_cleaner', 'location': 'house'}"
Is there a fish tank or a kettle in the house?,disjunction_object,no,False,"[[], []]",[],a8332c48-5f17-479b-80ae-97cc9ba89143,template,"{'colour1': '', 'colour2': '', 'entity1': 'a fish_tank', 'entity2': 'a kettle', 'location': 'house'}"
